tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product
I'm late but finally here at #gsdm #google #SXSW great surprise to b greeted by the lovely Lindsay stillman. Gonna b a good night.,Google,Positive emotion
"Everyone buy @mention an app for his new iPad on this day of his birth. Happy, happy. #SXSW #gsdm",iPad or iPhone App,Positive emotion
"Should I buy an iPad for @mention at the makeshift #sxsw Apple Store on launch day? Fuck no, I respect him too much... #wwsxsw",iPad,Negative emotion
"Everyone buying iPad 2's! I feel like a dinosaur with version, my blackberry and pc. Sxsw is like an Apple convention #sxsw",,No emotion toward brand or product
Reminded by @mention abt the value of Google Zeitgeist {link} #sxsw,,No emotion toward brand or product
"The walk by Lady Bird Lake was lovely, but Google Maps travel times are not to be trusted. #SXSW",Other Google product or service,Negative emotion
"&quot;...by the law of averages, better than Buzz&quot; RT @mention &quot;Google Circles will be ______ &quot;  #sxsw",,Positive emotion
#inspiredbyprint #sxsw Oh burn. Comparing iPad's skeumorpism to magic cap and Bob.,,No emotion toward brand or product
{link} #TC #google #sxsw Marissa Mayer: 40% Of Google Maps Usage Is Mobile (And There Are 150 Million... {link},,No emotion toward brand or product
Optimistic #Ohio #SXSW. Google pay per click management.   {link},,No emotion toward brand or product
Wicked pic I got of @mention (Duncan Jones) before I got to shake his hand. #SXSW - {link},,No emotion toward brand or product
Free music on iTunes! SXSW: Featured Artists - {link} #iTunes #SXSW,,No emotion toward brand or product
"Awkward JC Penneys question asked to Marissa Mayer, apparently JC Penney locations are being re-routed to Macys in Google maps? #SXSW",,No emotion toward brand or product
The ironic tee has been usurped by the iPad 2 as the hipster/geek/start-up chic fashion item at this year's #SXSW,iPad,Positive emotion
#Cloud #VC This Post Has Nothing to do with #SXSW: 2x startup Founder &amp; CEO who has gone to the Dark Side o... {link} #TCN,,No emotion toward brand or product
woohoo! cc: @mention @mention RT @mention Apple to Open Pop-Up Shop at #SXSW [REPORT] - {link},,No emotion toward brand or product
Game logic! Agency behaviour! Monkey mind control! The Ogilvy #AUSXSW podcast from #SXSW Day One {link},,No emotion toward brand or product
"Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues - TechCrunch: Chris Sacca Tweets O... {link} #apple",,No emotion toward brand or product
"Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues {link}",,No emotion toward brand or product
"Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues {link} #ipad",,No emotion toward brand or product
ipadi alacagimiz yer belli oldu:  Apple to Open Pop-Up Shop at Austin #SXSW {link} via @mention @mention,,I can't tell
The iPad calendar = The Frankeninterface. Designed as one interface metaphor but uses another. #tapworthy #sxsw,,Negative emotion
"#SXSW #macallan A formula for a successful day at SXSW - good sessions, my iPad, and a glass of MacAllan single malt. {link}",iPad,Positive emotion
I knew Localmind by @mention was a hit. It's getting huge press at #SXSW. We reviewed it earlier here: {link} #localmind,,No emotion toward brand or product
@mention Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,Positive emotion
"@mention can one of your shirts say #winning?! Rofl!!

#angrybirds #iPhone #iPad #SXSW",,No emotion toward brand or product
@mention Can we make you an iPhone case with TTYE on it just in time for #sxsw? We want to show our support!,,No emotion toward brand or product
"Bisot‰гў location @mention 06:10, 3/16 
Austin, TX, USA 
{link} 
#SXSW platform 2011 is killing... {link}",,No emotion toward brand or product
"Music: Location, mobile recording, meet @mention - #ios and #android updates in time for #sxsw. {link}",,Positive emotion
RT NicoRiccelli: Google to Launch Major New Social Network Called Circles. {link}  #sxsw // Google denies this.,,No emotion toward brand or product
"Clear +succinct visions make for great UX (think Apple, Google, Intuit)-we've seemed to forget the 'heart' of caring/purpose #sxsw #rhjr_ux5",,No emotion toward brand or product
Open-source geo-hashing coming soon from @mention being used by @mention developers called S2 #SXSW,,No emotion toward brand or product
"LiquidSpace Launches iPhone App, Mobile Marketplace for Workspace #sxsw | @mention {link}",,No emotion toward brand or product
"#techcrunch #google Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues: 
... {link} #facebook @mention",,No emotion toward brand or product
#techcrunch #google LaunchRock And Vencorps Want To Give $30K To The ‰ЫПBest‰Ыќ Startups #SXSW: L... {link} #facebook @mention,,No emotion toward brand or product
#techcrunch #google This Post Has Nothing to do with #SXSW: Editor‰ЫЄs Note: This is a guest po... {link} #facebook @mention,,No emotion toward brand or product
Saw a bunch of security guards playing with iPads at the apple store after hours last night #sxsw {link},,I can't tell
"The lawn chair: perfect for keyboards. That's Dan's, drummer for Mist Giant #sxsw Location: {link}    {link}",,No emotion toward brand or product
#sxsw #enchantment: @mention &quot;Bright spot for Apple: Pagemaker saved Apple. I believe in God b/c no other explanation of Apple survival,Apple,No emotion toward brand or product
"#sxsw #enchantment: @mention &quot;Do I get special treatment by Apple? No, I'm standing in line at Apple Store right with you.&quot;",,No emotion toward brand or product
#sxsw #enchantment: @mention &quot;Early Apple days: Any flight over 2h qualifies for 1st class.&quot; &quot;When does 2h start? When leaving apt&quot;,,No emotion toward brand or product
"#sxsw #enchantment: @mention &quot;It's like saying, please don't register. Just go to Google.&quot;  Hahah",,No emotion toward brand or product
#sxsw #enchantment: @mention &quot;No one uses Windows voluntarily.&quot; &quot;Apple is greatest collection of egomaniacs in history.&quot; haha,Apple,Negative emotion
"#sxsw #enchantment: @mention &quot;Sell your dream. Steve Jobs doesn't say: iPhone is $188 of parts+AT&amp;T, made by ppl in suicidal Chinese",iPhone,Negative emotion
#sxsw #enchantment: @mention &quot;Wouldn't let Apple II people in our building [where they were building Macs]&quot;,,No emotion toward brand or product
My Apple Charger Lanyard hack is getting rave reviews! :-) #MonksOfInvention #SxSW {link},,No emotion toward brand or product
@mention check into some of the new chatting/texting startups that are coming out of #SXSW {link} (re:iphone chat client),,No emotion toward brand or product
@mention check it. RT @mention #SXSW FREE App Festival Explorer: find the bands you want to see from your music tastes {link},iPad or iPhone App,Positive emotion
@mention check out @mention awesome dj skills on the iPad while u are at #SXSW,iPad,Positive emotion
"@mention Check out 2011 South by Southwest Interactive iPhone/iPad Must-have Apps, sites and tools by @mention {link} #SXSW",iPad or iPhone App,Positive emotion
"@mention Check out a bunch of #free #atx on the @mention Unofficial #SXSW events list, here or for iPhone/Android: {link}",,No emotion toward brand or product
"@mention check out GoogleTV to iPad Apps: The Connected TV Experience
{link} #SXSW #ConnectedTV",,No emotion toward brand or product
@mention check out our #eventseekr app launching at #sxsw keep updated on parties. Android: {link} iPhone app on its way,Android App,Positive emotion
"@mention check out Smyle (for #Android and the web). Has group chat, shared location and media, and whiteboarding. Thanks. #SXSW #app",Android App,Positive emotion
About to check out &quot;mistakes I made building Netflix for iPhone.&quot; this is going to be cool -you should always learn from mistakes. #sxsw,iPad or iPhone App,Positive emotion
@mention Check the latest stream at Apple's store at #SXSW {link} . ipad2 here I come. #PLAYSXSW,iPad,Positive emotion
@mention Check the latest stream at Apple's store at #SXSW {link} . iPad2 wait for me  #PLAYSXSW,iPad,Positive emotion
@mention check the photo feed from Apple store #SXSW  {link} thanks to @mention @mention @mention.,,No emotion toward brand or product
"Just launched the pop-up Apple Store at #SXSW. It's our &quot;vintage&quot; store format: Mostly iPods and snarky employees. Ah, the good old days.",Apple,Negative emotion
#saveustechies panel at #sxsw getting off to a great start with a video on the surui carbon project by google {link},Google,Positive emotion
Apple's Schiller: White iPhone will debut in spring: Don't they also try to sell you faster speed cable? #SXSW m... {link},,No emotion toward brand or product
"Best tsotchke at #SxSW so far‰ЫУmy iPhone was almost out of power and PowerMat gave me a free, fully charged battery: {link}",,No emotion toward brand or product
"Stupid technology! You always fail at important times! At #SXSW w/ an iPhone, laptop AND Blackberry and the only thing working is my pen.",iPhone,Negative emotion
congrats chris! RT @mention #SXSW Interactive Award: Music Category to &quot;Wilderness Downtown&quot; @mention @mention @mentione,,No emotion toward brand or product
"Anna's Social Media Picks of the Week (03/11/11) {link} covering social media and Japan, The iPad 2, #SXSW and more...",,No emotion toward brand or product
Google Social Media RT @mention We interrupt your regularly scheduled #sxsw geek programming with big news {link},,No emotion toward brand or product
Google Social Network: Circles   coming today at #sxsw? {link},,No emotion toward brand or product
It's official: everyone at #sxsw uses an iphone.,,No emotion toward brand or product
It's official: people using the iPad 2 to take photos just look weird. #SXSW,iPad,Negative emotion
It's official: We'll be presenting #Filmaster for #iPhone in the contest of world's best mobile apps at #SXSW !!! {link},iPad or iPhone App,Positive emotion
It's Official! An Apple Store has popped up at #SXSW  {link},,No emotion toward brand or product
It's official! I'm buying an iPad. #SXSW #elevate,iPad,Positive emotion
#google #circles #sxsw #shice /via @mention {link},,No emotion toward brand or product
#Google #Circles reveal at that joint session with ACLU tonight? This video doesn't make me think so. {link} #sxsw @mention,,No emotion toward brand or product
#Google #Circles.. Google's latest Social venture Google Circles reportedly won't be launched at #SXSW today - {link},,No emotion toward brand or product
&quot;Narcissism &amp; challenge of FB Pages&quot; {link} coupled w/ &quot;Google's Spam Problem&quot; {link} explain Circles &quot;a bit&quot;. #sxsw,,No emotion toward brand or product
Pretty excited about the Apple Pop Up Store coming to #SXSW {link},Apple,Positive emotion
Pretty excited for @mention iPad session #uxdes #sxsw,iPad,Positive emotion
Pretty excited for my iPhone to stop working #sxsw #AT&amp;T,iPhone,Negative emotion
really excited for my first panel!  #tapworthy iPad Design Headaches  Should be awesome.  the book is!  #sxsw #gsdm,,No emotion toward brand or product
"Really excited to see the documentary Something Ventured at #sxsw today. About the rise of Intel, Apple, Genentech, Cisco, &amp; Atari.",,No emotion toward brand or product
We are excited to see HLS Dynamic Video Ad Insertion for TV Everywhere working on the #iPad2 later today at the #SXSW PopUp Apple Store,iPad,Positive emotion
FedEx truck unloading outside Apple popup store. #sxsw #ipad2,,No emotion toward brand or product
#iPad2 rocks #SXSW (@mention Apple POP UP Store) {link},iPad,Positive emotion
FedEx Trucks keep arriving as TV crews interview people in line for first iPad2 at #SXSW PopUp Apple Store.  {link},,No emotion toward brand or product
"#SXSW #Rackspace Startup Program, Cloud 2.0 iPad App Launched {link} #seo #sem #cloudcomputing #topnews",,No emotion toward brand or product
"SXSW ‰ЫТ Rackspace Startup Program, Cloud 2.0 iPad App Launched {link} #Rackspace #sxsw #Top_News",,No emotion toward brand or product
"This is ackward. Sitting in the back of Ballroom F at the ACC, looking to my left and right: I'm the only non-Macbook / iPad here. Oh. #sxsw",,No emotion toward brand or product
Theres a class war forming here at #sxsw. iPad 2 owners vs. first gen owners.,,No emotion toward brand or product
"Time for coffee, muffins and news reading with leNewz at #SXSW trade show (booth #1422 just behind Google's)",,No emotion toward brand or product
@mention come by tomorrow to get your iPhone case! #zazzlesxsw #Sxsw #Zazzle #sxswi {link},,No emotion toward brand or product
"After... Come visit Milyoni we are at Booth, 1223 right under the big Google sign at #SXSW {link}",,No emotion toward brand or product
My first computer as a kid was an Atari 800; my kids first computer will be an iPad.  What will they be able to do that I couldn't? #sxsw,iPad,Positive emotion
.crowdbeacon has put together a guide to #sxsw at {link} The latest update to their iPhone app is going to be sick.,iPad or iPhone App,Positive emotion
"On its second day in business, the Apple pop-up store appears to be trending. #sxsw #vb (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive emotion
At #SXSW conf and 1 out of every 200 people have a Mac or Ipad (including me).  What happened to the PC? Is it becoming obsolete?,,No emotion toward brand or product
At #SXSW conf and EVERYONE has a Mac or Ipad (including me). What happened to the PC? Is it becoming obsolete?,iPad,Positive emotion
@mention congrats on the first iPad 2 at #sxsw,iPad,Positive emotion
@mention Congrats on your iPhone app being featured at #SXSW!,iPad or iPhone App,Positive emotion
@mention Congratulations on winning the Android award! :) #sxsw,Android,Positive emotion
"@mention congratulations, sent from Seesmic on my Android phone, at #SXSW!",Android App,Positive emotion
Apple on Congress. Nice. RT @mention Apple set to open popup shop in core of SXSW action {link} #SXSW #Apple,,No emotion toward brand or product
Egyptian content flood. &quot;Google had to put up two more servers after web came back up.&quot; #SxSW #sxswsa,,No emotion toward brand or product
iPad app content needs to be shallow but engaging #sxsw,,No emotion toward brand or product
Trying 2 convince @mention 2 watch the launch of google Social network at #SXSW . I didn't know there was going to be comedy?!,Other Google product or service,Negative emotion
"@mention Cool! That means we can watch Ustream in Skyfire browser on iPhone :-)
(Safari doesn't work) 
Have fun!  #sxsw",iPhone,Positive emotion
"Could be cool. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Other Google product or service,Positive emotion
"Eating a coolhaus ice cream sandwich at the Google party. Hmmm, happy. #sxsw",Google,Positive emotion
I really could use one of those tiny MacBook Airs. Did I read that Apple set up a temporary store at SXSW? Where is it? #SXSW,Apple,Positive emotion
It's the couple from that Evo vs. iPhone video! #sxsw {link},,No emotion toward brand or product
I have a couple of iPad paintings being exhibited for #sxsw at the Austin Details Gallery. Show opens this Friday - {link},,No emotion toward brand or product
"Google recreated the code for Pac-Man for their doodle, original bugs included. #sxsw #googledoodles",Google,No emotion toward brand or product
@mention crew ripped up Android party - thanks for having us Droid! {link} #sxsw,Android,Positive emotion
#Want: Micro USB charger for Samsung Android or Kindle at #SXSW starting 3/11. Will pay $10 for 7 days: {link} #snapgoods,,No emotion toward brand or product
The data crunch at #SXSW is crippling Google Voice. Back to regular texting we go...,Other Google product or service,Negative emotion
new product idea: pants with a built in iphone charging dock built into the pocket! #sxsw,iPhone,Positive emotion
"True,expect more insidious approaches, like Apple subscriptions. RT @mention {link} . Disgraceful.  #libraries #sxsw",Apple,Negative emotion
"#bjdproductions #Apple heads to #SXSW, sets up temporary store in Austin {link} #tech",,No emotion toward brand or product
#bjdproductions #Apple Opening Pop-Up Store In Austin For #SXSW {link} #tech,,No emotion toward brand or product
#bjdproductions #Apple Opening Pop-Up Store in Austin for #SXSW Geekfest [Apple] {link} #tech,,No emotion toward brand or product
"#bjdproductions #Apple saves #SXSW, set to open pop-up store {link} #tech",,No emotion toward brand or product
#bjdproductions #Lightbox_Photos Wants To Be Your New #Android Camera App (#SXSW) {link} #tech,,No emotion toward brand or product
"#bjdproductions At #SXSW, #Apple schools the marketing experts {link} #tech",,No emotion toward brand or product
"#bjdproductions Before It Even Begins, #Apple Wins #SXSW {link} #tech",Apple,Positive emotion
#bjdproductions Google to launch new social network at #SXSW? {link} #tech,,No emotion toward brand or product
{link} Security guard enjoying the iPad2 at the Apple Store in Austin... #sxsw,iPad,Positive emotion
Media Circus: Guy walks out of Apple's popup store at #SXSW with 1st #iPad2 now. In Austin at 6th &amp; Congress. {link},,No emotion toward brand or product
Sosososo cuteeeeee {link} #thingsthatdontgotogether Jalen Rose #sxsw iPad,,No emotion toward brand or product
Google's Cutts says reputation and topicality are the 2 keys that matter in site rankings. #qagb #sxsw,,No emotion toward brand or product
Unimitated - Fingerprint Security Scan - {link} #iTunes #ipad2 #1990style #SXSW,iPad,Positive emotion
"#flipboard - when bldg app for AppStore, need wholistic mktg awareness, p.r. strategy to drive adoption Don't just rely on Apple. #rji #sxsw",,Negative emotion
What would #copyright look like if created today? w/ @mention CEO/Pres Floor64 Inc &amp; William Patry Sr Copyright counsel Google #sxsw,,No emotion toward brand or product
#Apple and #HP are 'popping in' for #SXSW; both setting up temp sites: {link} #Austin #Atx #Austinbusiness,,No emotion toward brand or product
Extra iPad 2 for sale in Austin convention center who wants one? {link},,No emotion toward brand or product
#tech iPad 2 Gets Temporary #Apple_Store for #SXSW {link},iPad,Positive emotion
"Also, iPad 2 ordered. Now I don't have to stand in line, wasting valuable fellowship time. #sxsw",iPad,Positive emotion
"Discovered a new conversation icebreaker: &quot;Hey, is that the new iPad 2? Why yes it is...&quot; #SXSW #social",iPad,Positive emotion
I composed a tweet so acerbic and cynical about ipad users that my phone crashed and dumped all my apps. #twitterpower #sxsw #imthatgood,iPad,Negative emotion
"Google and ACLU are buddies?‰ЫП@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw‰Ыќ",,No emotion toward brand or product
Wish I had an iPad right now. Lasts longer than the phone and not as awkward as the laptop. #SXSW,iPad,Positive emotion
That could be dangerous RT @mention Sweet...Apple listened to us!  A temp Apple Store near #SXSW for iPad2 launch!  {link},Apple,Positive emotion
that would be me (via @mention Apple's opened a pop-up store in Austin so the nerds @mention #SXSW can get new iPads. {link} #cnet,,No emotion toward brand or product
This could be the first big news out of #sxsw... {link}  Google building new social framework.,,Positive emotion
Google and Bing meet at #SXSW after their lovers tiff last month but it seems to have been disappointingly friendly {link},Google,Negative emotion
Google and Bing page rank panel is ridiculously crowded. Is Al Franken or Justin Timberlake here? #sxsw {link},Google,Negative emotion
Google and Bing sitting on the same panel. They don't look like they want to punch each other in the face. Cc: @mention #sxsw,,No emotion toward brand or product
Unexpected bonus of waking up at 4am to make #SXSW flight: being up to order iPad 2 right as it's released,,Positive emotion
"Surrounded by tats, piercings, live music, gadgets galore -- yep,  hipster heaven! #Google, #gsdm #welivehere #wepartyhere #sxsw",,No emotion toward brand or product
&quot;iPad cleaner&quot; takes on two very different terms at #sxsw,,No emotion toward brand or product
Near Field Communication already here on android phones. #SXSW #bemyneighbor,,Positive emotion
"My #agnerd confession, using laptop, iPad and blackberry to follow #SXSW from afar to see #agchat rock it",,I can't tell
Major iPad design flaw: the SXSW Go iPad app. It doesn't stay open when you switch apps! #ipaddesignheadaches #sxsw,iPad or iPhone App,Negative emotion
"&quot;iPad Design Headaches (2 Tablets, Call in the Morning)&quot; at #SXSW is packed!",,No emotion toward brand or product
I'm headed down to #SXSW to hear a talk on integrated social network dynamics and team synergy.  I've got my iPad ready to go.,iPad,Positive emotion
"When bored during a keynote #sxsw, use your iPad to draw a picture - even if you are not a good artist!  {link} #sxswi",iPad,Positive emotion
SXSW Crowd Earns $10K for Charity by Playing a Game [PICS]: In an unusual keynote speech... {link} #News #sxsw #Cyber #iPhone,,No emotion toward brand or product
Your brand focus? RT @mention 'Trust of Zappos + Likability of Virgin + Product of Apple' - recipe for success @mention #SXSW,Apple,Positive emotion
"When brand focuses on purpose, not object, they survive &amp; succeed. Google: not search, useful info. Nike: not sneakers, performance. #sxsw",Google,Positive emotion
Unexpected geekout moment of #sxsw so far: talked with the guys who are bringing the Traveller RPG to the iPhone.,iPad or iPhone App,Positive emotion
Ladies and gentlemen - Mr. Street  RT @mention I've been having meetings while I'm in line at the #SXSW PopUp Apple Store for the iPad2.,,No emotion toward brand or product
Only stood in line for 30 minutes to buy 2 iPads at the Apple pop-up store. #apple #sxsw #ipad #austin #fuckyeah,iPad,Positive emotion
"Sam licked it, so it's his! RT: @mention How I got an iPad 2 during #SXSW! {link} cc @mention",iPad,Positive emotion
iPad 2 and Its Rivals: How They Stack Up {link} #bnet #biz #ipad2 #apple #sxsw #ipad #tablet #xoom #tech #laptop #pics #sale,,No emotion toward brand or product
"free #iPad Lounge open daily for #SXSW serving art made on iPads, and local art, free coffee, @mention Austin Details {link} #photo",,No emotion toward brand or product
"Best Brand Marketing at #SXSW: GE @mention solar powered carousel, @mention Rock 'n Roll Trailer Park, Apple's iPad2 pop-up shop",,No emotion toward brand or product
"Just added my #SXSW flights to @mention Matching people on planes/airports. Also downloaded the @mention iPhone app, nicely done.",iPad or iPhone App,Positive emotion
Just found out new mapquest iPhone app has turn-by-turn gps for free... Time to check it out and get reacquainted with mq #sxsw,iPad or iPhone App,Positive emotion
You should probably put that away... RT @mention at the Android party and kinda embarrassed by my iPhone #SXSW,iPhone,Negative emotion
"Aha! Found proof of lactation room, excuse me, &quot;Mother's Room,&quot; brought to you by Google, at last year's #SXSW. {link}",,No emotion toward brand or product
makes good sense RT @mention Apple set to open popup shop in core of SXSW action {link} via @mention #SXSW,Apple,Positive emotion
UBER BRAND SMART: Gonna move a ton of iPad2 - #Apple opening a popup shop in Austin for #SxSW  {link} via@mention @mention,,Positive emotion
#localmind sounds awesome.. location based Q&amp;A could be incredibly useful. {link} #iphone #sxsw,iPhone,Positive emotion
#sxsw ipad store sold out of everything except 64gig wifi only white,,No emotion toward brand or product
Just heard that Apple is opening a store in downtown Austin tomorrow to sell iPads to #SXSW attendees.,Apple,Positive emotion
"I'm bummed that I missed the Team Android party at #SXSW... Oh well, CTIA is right around the corner... Boom, roasted...",,I can't tell
Hah! Found the &quot;popup&quot; Apple store where the iPad 2 will be on sale 2moro - gold's gym at 6th and Congress:  {link} #sxsw,,No emotion toward brand or product
Just saved the #sxsw 'I'm so productive I don't get anything done' with my iPad dongle. Get get'm #sxswbusy,,No emotion toward brand or product
Just found the back door into the #sxsw apple store. #ip2 ftw!,,No emotion toward brand or product
Almost had the worst #sxsw FAIL... Left my iPhone on the kitchen counter. Realized it after 5 min of driving to the airport...,,No emotion toward brand or product
Don't need to charge at #sxsw if you're talking in the sun with your iphone: {link} boom!,iPhone,No emotion toward brand or product
Interested to hear how it's different from Google Buzz. RT @mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :),Other Google product or service,Positive emotion
I just had to read TV recaps online to keep up with my shows. I have 600 unread posts in Google Reader. I'm completely detached. #sxsw,,No emotion toward brand or product
Interested to see what Google will have to show off when they unveil #Circles at #sxsw.,,No emotion toward brand or product
No Android version? RT @mention @mention Download the @mention for iPhone to reserve your space during #sxsw!,,No emotion toward brand or product
"So Annoyed with #SXSW schedule app that has bad #ui for iPad. My fingers ain't THAT fat, y'all.",iPad or iPhone App,Negative emotion
{link} Did you hear? Apple‰ЫЄs opening a temporary store just for #SXSW! (via @mention,Apple,Positive emotion
HTML 5 and you. At the google booth. #sxsw  {link},,No emotion toward brand or product
Don't hold your breath about Google Circles (at least during #SXSW): {link},,No emotion toward brand or product
"Stay tuned, @mention up next on the emergency iPad station at #sxsw, facebook bullying and online privacy: {link}",,No emotion toward brand or product
"Now: Poked, Liked and Re-tweeted - a Google Love Story - Alisa (iCrossing). #sxsw #futurefifteen",,No emotion toward brand or product
ballroom d: #marissagoogle talking about some cool projects (obv). love the Google Art Project. #sxsw,Google,Positive emotion
All packed! Charging the ipad for a busy day/weekend ahead. Also need to download the #SXSW apps for iphone/ipad!,iPad or iPhone App,Positive emotion
"IPAD FOUND!!! My friend Jeff has it!!!! #SXSW thanks to everyone who helped, especially @mention",iPad,Positive emotion
All Packed. A few too many #Apple devices. Alarm set for 5:15am. See ya'll at #SXSW. Psyched to meet (finally) many of you guys!,Apple,Positive emotion
Why should/shouldn't I get an iPad 2? Discuss :-) #SXSW,,No emotion toward brand or product
First ipad2 sighting at #SXSW interactive - infact everyone has at least 1 Apple product in use at all times,,Positive emotion
#want ipad2? Win it here: {link} #sxsw,iPad,Positive emotion
Download Daily Grape  - a new app from @mention for the iPhone.  You can take him with you to the wine shop. #sxsw,iPad or iPhone App,Positive emotion
@mention dan die maar doen? :P RT @mention #sxsw ipad store sold out of everything except 64gig wifi only white,,No emotion toward brand or product
The MoST Dangerous ipad in my life.. {link} Jaqueline Bojan #sxsw,,No emotion toward brand or product
Cobra iRadar detection system coming to Android next month {link} #Android #GPS #iPhone #SXSW,Android App,Positive emotion
iPad 2 Update: ONLINE sales start at 12:01am PST | 3am EST on 3/11/11 | 2-day Free Shipping |FYI: #SXSW - Popup store downtown Austin #apple,,No emotion toward brand or product
"Mobile updates RT @mention Hoot! New Blog post: HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",,No emotion toward brand or product
#JustMet David from Beyond. We both had stories of guys making drunken ipad purchases at the Apple pop up store. #SXSW #whattechnerdsdodrunk,,No emotion toward brand or product
"Exciting day at #sxsw to day. Now Tim Ferriss, and rumors about launch of Google Circles later...",Other Google product or service,Positive emotion
It's pie day at the google booth at #sxsw #mylunch,Google,Positive emotion
#MusicMonday have a great time #SXSW I played there with the White Stripes &amp; 60SecondCrush @mention Detroit Showcase in LUCYS! {link},,No emotion toward brand or product
"Happy Pi Day!  (If google doesn't launch Circles on Pi day, it doesn't exist) #sxsw",,No emotion toward brand or product
The forbidden apple has been spoiled! Long live #samsung! They are rocking the #sxsw &amp; #sxswi's world.,Apple,Negative emotion
dumb blonde {link} Evelyn #sxsw Juwan Howard iPad,,No emotion toward brand or product
Woah.  Dude at #sxsw gets branded tattoo in exchange for iPad.  No really. {link} @mention,,No emotion toward brand or product
"To the dude propping his ipad on the urinal, your time isn't THAT valuable #sxsw #ewww",,No emotion toward brand or product
I just made the decision: Id like to purchase an iPad.  It would be perfect for me at #SXSW.,iPad,Positive emotion
The Big Idea: Google leaves nothing left to discover {link} #SXSW #SXSWi,,No emotion toward brand or product
"Getting ideas at #SXSW? Save them on your iPad using Action Lists. True to GTD, syncs w/ iPhone &amp; web.
{link}",,Positive emotion
bands needed for sx podcast {link} #sxsw,,No emotion toward brand or product
Have decided I need an ipad. #usguys #sxsw,iPad,Positive emotion
giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,No emotion toward brand or product
@mention Definitely Yobongo. Real time chat at #SXSW is going to be killer. {link},,No emotion toward brand or product
"It's a model for one, not for all. RT @mention #sxsw &quot;apple comes up with cool tech no one's ever heard of cuz they don't go to conferences&quot;",Apple,Positive emotion
Great UI demo of @mention on @mention {link} #xoom #sxsw #android #tech #tablet,Android,Positive emotion
Watching demo of google hotpot ... People using this? #sxsw,,No emotion toward brand or product
We're wondering how many @mention will come back from #sxsw with iPad 2's. Maybe everyone?,,No emotion toward brand or product
Dudes! Dudes! Check it out: Tweet anything w/ 'iPad' in it &amp; naked lady response bots will tell you how they 'simply gaimed one free' #sxsw,,No emotion toward brand or product
"#SXSW Tradeshow floor: Engage w/ our multi-touch interactive wall, take part in an Augmented Reality in 3D and enter to win an iPad.",,No emotion toward brand or product
The iPad design panel in Hilton Salon J is filling up quickly. No surprises there. #tapworthy #sxsw,,No emotion toward brand or product
The iPad design panel in Hilton Salon J is filling up quickly. No surprises there. #tapworthy #sxsw it's more fun with the iPad2,iPad,Positive emotion
Next up: designing interfaces for iPad. Or should I hit up &quot;Your Brand is Obsolete&quot;? #SXSW,,I can't tell
#android dev meetup was mostly ppl looking for devs. Good skill to learn if you havent already. #SXSW #mccannsxsw,Android,Positive emotion
"Possible dМ©voilement au #SXSW RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",,No emotion toward brand or product
"#SXSW predicts Group-Texting to be next-big thing, Fast Society Comes to Android &amp; Updates iPhone App - {link} - via @mention",,No emotion toward brand or product
@mention Did you do this in Austin at @mention #SXSW? {link},,No emotion toward brand or product
@mention Did you find out the hours of the apple store? I'm curious too... #sxsw,,No emotion toward brand or product
@mention did you hear the rumor there might be a special apple pop-up store at #sxsw specifically for the ipad2 launch?,,No emotion toward brand or product
@mention did you see my tweet from before re:ipad 2 being sold at #sxsw ?,,No emotion toward brand or product
@mention did you see that #apple is opening up a temporary store at #SXSW for the iPad 2 launch? maybe we can transfer...,,No emotion toward brand or product
@mention did you snag an iPad 2 yesterday? thoughts so far? #SXSW,,No emotion toward brand or product
N5: Spreading the Disease  {link} [codes valid: 4:00-7:59:59p 03/11/11] #infektd #sxsw #necro,,No emotion toward brand or product
"Was intending to bring my trusty backpack for this upcoming trip to #SXSW. With the number of iPad 2s I'm helping buy back, no es posible.",,No emotion toward brand or product
Who's heading to the pop-up Apple store today? Anyone know what time the sale starts? #SXSW #SXSWK,,No emotion toward brand or product
"@mention direct shot @mention offering rewards for check-ins on Latitude, starting in Austin for #SXSW. {link}",,No emotion toward brand or product
is a bit disappointed that the two iPad talks had so many overlapping examples #sxsw,Apple,Negative emotion
@mention discussing salsa ingredients @mention - @mention Industry party #sxsw #welivehere #gsdm,,No emotion toward brand or product
@mention discussing salsa ingredients @mention - @mention Industry party #sxsw #welivehere #gsdm  {link},,No emotion toward brand or product
&quot;credit card companies know with 98% accuracy 2 yrs before that you're going to get divorced&quot;  @mention at #sxsw {link},,No emotion toward brand or product
